MITI,NANDU,MIGE,TISHI,JIEMI,MIDI,FAYIN,JIESHI,ZAOJU
只能生产优质品,1,谜语,根据谜题意思联想,也就是说不能造次品，即不可造次,不可造次,bù kě zào cì,造次：急遽，匆忙。不能匆匆忙忙地进行。意为要慎重。,宗璞《东藏记》第五章：“他们宗教信仰不同，～。”
儿童笔记,2,素胫格,根据谜题字词近义联想、合成,儿童解为小孩、小人，笔记解为日志，即得小人的志，由于素胫格，可解为小人得志,小人得志,xiǎo rén dé zhì,小人：指道德低下或行为不正派的人。指人格卑下的人人取得了权势。,至于内里这位宝小姐，真正是～，弄得个气焰熏天。清·李宝嘉《官场现形记》第三十八回
捡破烂,5,谜语,根据谜题意思以及近义、相关义联想、合成,破烂时别人丢弃的，捡是自己拾取的，可以解为人弃我取,人弃我取,rén qì wǒ qǔ,别人抛弃的东西我拾起来。原指商人廉价收买滞销物品，待涨价卖出以获取厚利，后用来表示不跟别人争，仍然有好处。,茅盾《某镇》：“想到我们中国人最善于～，那么大概齿咬是更近于实际罢。”
清除,6,下楼格,根据谜题字词别意以及近义联想、合成,既然清除了，肯定不需要在乎满不满了，即得不在乎满，由于下楼格，可得满不在乎,满不在乎,mǎn bù zài hū,丝毫不在意。,老师批评他，他总是一副～的样子。
待到重阳日，还来就菊花,9,谜语·灯谜,根据诗句以及字词近义、相关义联想、合成,出自孟浩然《过故人庄》，意思明年重阳请朋友再来赏菊，可以解为后会有期,后会有期,hòu huì yǒu qī,期：时间。以后有见面的时候（用在分别时安慰对方）。,女菩萨千万保重！我们～，暂且失陪。（清·李汝珍《镜花缘》第五十一回）
夫妻档,4,灯谜,根据谜题字词别意以及近义联想、合成,夫妻档也就是夫妻搭档，没有独人，都是偶数，即得无独有偶,无独有偶,wú dú yǒu ǒu,独：一个；偶：一双。不只一个，竟然还有配对的。表示两事或两人十分相似。,先生与这位老夫子，可称～。（刘半农《奉答王敬轩先生》）
大中华,7,灯谜,根据所描述事物特点以及相关义联想、合成,自然是地大物博喽,地大物博,dì dà wù bó,博：丰富。指国家疆土辽阔，资源丰富。,我们伟大的祖国～。
确认无误再讨教,4,蕉心格,根据谜题字词近义以及相关义联想、合成,确认无误解为真实，再讨教可解为才去学，即真实才学，由于蕉心格，中间两个交换顺序，可解得真才实学,真才实学,zhēn cái shí xué,真正的才能和学识。,一百个说空话的人，不如一个有～的实干家。
白骨精演说,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,妖言惑众,yāo yán huò zhòng,妖言：迷惑人的邪说。用荒谬的鬼话迷惑人。,世上这些～的人，怎么没人治他一下子！（清·曹雪芹《红楼梦》第六十七回）
茂叶蔽荫好下棋,7,灯谜,根据谜题字词相关义以及引申义联想、合成,茂叶蔽荫联想为大树，下棋联想为下象棋、将军，可得大树将军,大树将军,dà shù jiāng jūn,原指东汉冯异。后常指不居功自傲的将领。,武帝尝指道根示尚书令沈约，美其口不论勋。约曰：“此陛下之～也。”（南史·冯道要列传《）
太阳底下竖竹子,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,立竿见影,lì gān jiàn yǐng,在阳光下把竿子竖起来，立刻就看到影子。比喻立刻见到功效。,你说你莲花化身，清净无为，其如五行变化，～。（明·许仲琳《封神演义》第七十八回）
刚出水的虾子,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,活蹦乱跳,huó bèng luàn tiào,欢蹦乱跳，活泼、欢乐，生气勃勃的样子。,大水看到～的艾和尚一眨眼的工夫，就死在敌人枪弹之下，心里一阵疼。孔厥、袁静《新儿女英雄传》第九回
囚犯救火,4,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,囚犯解为戴罪之人，救火可解为立功的事情，即得戴罪立功,戴罪立功,dài zuì lì gōng,指身负罪责，争取立下功劳，借以赎罪。,他这次～，算是得到了大家的原谅。
口无遮挡,7,灯谜,根据谜题字词别意以及引申义联想、合成,也就是没有了嘴唇和牙齿，可解为唇亡齿寒,唇亡齿寒,chún wáng chǐ hán,嘴唇没有了，牙齿就会感到寒冷。比喻利害密要相关。,这两家公司有着多种业务关系，正所谓是～。
失晓,2,谜语·灯谜,根据谜题字词近义联想、合成,失解为不得，晓即晓得、知道，于是可得不得而知,不得而知,bù dé ér zhī,没有办法知道。,从未到过广西，所以谁做了广西政府的“高等顾问”等等，我～。（邹韬奋《经历·贫民窟里的报馆》）
法官偷东西,5,灯谜,根据谜题意思以及引申义联想、合成,也就是说执法的人犯法了，可解为执法犯法,执法犯法,zhí fǎ fàn fǎ,指执行法律的人违背法律,这年头～的事情时有发生
说服,4,双钩格,根据谜题字词别意以及近义联想、合成,说解为话、言，服解为吃、食，即得其言自食，由于双钩格，可得自食其言,自食其言,zì shí qí yán,指说了话不算数。,我若今日复出应诏，是～了。（明·冯梦龙《醒世恒言》卷二）
十六日成亲,5,双钩格,根据谜题字词别称以及近义联想、合成,十五日为望日，十六日自然是过了望日，成亲可解为大喜，即过望大喜，由于双钩格，可得大喜过望,大喜过望,dà xǐ guò wàng,过：超过；望：希望。结果比原来希望的还好，因而感到特别高兴。,灿若灯下一看，正是前日相逢之人，不觉～，方才放下了心。（明·凌濛初《初刻拍案惊奇》卷十六）
无偿献血,6,谜语,根据谜题意思以及近义、相关义联想、合成,既然是无偿的，那自然是自觉自愿了,自觉自愿,zì jué zì yuàn,自己觉悟而愿意。,我们要～地维护国家和民族的利益。
烫,5,灯谜,根据字的拆分以及结构联想、合成,烫字拆为汤、火，于是可解为赴汤蹈火,赴汤蹈火,fù tāng dǎo huǒ,赴：走往；汤：热水；蹈：踩。沸水敢蹚，烈火敢踏。比喻不避艰险，奋勇向前。,有三个人，义胆包身，武艺出众，敢～，同死同生。（明·施耐庵《水浒全传》第十五回）
公道话,3,谜语,根据谜题意思联想、合成,公道话肯定是正直公正的言论，也就是直言正论,直言正论,zhí yán zhèng lùn,正直公道的言论。,宋·邵伯温《闻见前录》：“王荆公始用事，公以～折之，不能胜。”
一团乱麻,3,灯谜,根据所描述事物特点联想、合成,可以想到难以分解开，即得难分难解,难分难解,nán fēn nán jiě,指双方争吵、斗争、比赛等相持不下，难以分开。有时也形容双方关系十分亲密，分不开。,这盘棋，两人杀得～，不分高下。
皇帝派的人,3,谜语,根据谜题意思联想,皇帝派的人，可以联想为钦差大臣,钦差大臣,qīn chāi dà chén,过去指由皇帝派遣并代表皇帝外出办理重大事件的官员。现在用来讽刺从上级机关派到下面去，不了解情况就指手画脚发号施令的人。,雯青因是～，上海道特地派了一只官轮来接，走了一夜，次早就抵埠头。（清·曾朴《孽海花》第九回）
茅坑里打架,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,奋不顾身,fèn bù gù shēn,奋勇向前，不考虑个人安危。,部下弟子，虽不敢谓久经训练，有勇知方，惟大义所在，却是～。（蔡东藩、许廑父《民国通俗演义》第一百十五回）
大水退后屋尽毁,1,谜语·灯谜,根据谜题字词近义联想、合成,大水退后可解为流水离开了，屋毁可解为失去了住所，即得流离失所,流离失所,liú lí shī suǒ,流离：转徒离散。无处安身，到处流浪。,年荒劫大，百姓们不是离家逃荒，～，便是等待饿死。（姚雪垠《李自成》第二卷第二十八章）
半身像,4,灯谜,根据所描述事物特点联想、合成,可以想到只能露出头和脸即面，于是可解为抛头露面,抛头露面,pāo tóu lù miàn,抛：暴露。露出头和面孔。原指妇女出现在大庭广众之中。现指公开露面。,却到这里来～，好不识羞！（叶圣陶《春光不是她的了》）
最无用的人,3,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,一无所长,yī wú suǒ cháng,没有一点儿专长。,鲁迅《书信集 致曹聚仁》：“现在当局之手段，除摧毁一切，不问新旧外，已～。”
看墙报,1,上楼格,根据谜题字词近义联想、合成,看解为观，墙解为墙壁上，报解为作品，即得观作壁上，由于上楼格，可解为作壁上观,作壁上观,zuò bì shàng guān,壁：壁垒。原指双方交战，自己站在壁垒上旁观。后多比喻站在一旁看着，不动手帮助。,我以为对于校长主张去留的人，俱不免各有其复杂的背景，所以我是袖手～的。（鲁迅《两地书·七》）
大家齐唱生日歌,6,谜语·灯谜,根据所描述事情的动作形象联想,也就是所有人都唱着同一句歌词，即众口一词,众口一词,zhòng kǒu yī cí,所有的人都说同样的话。,适才仇老所言姻事，～，此美事也，有何不可？（明·凌濛初《初刻拍案惊奇》卷二十四）
杀死的公鸡扑棱翅,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,垂死挣扎,chuí sǐ zhēng zhá,垂：将近。临死前的挣扎，妄想延长生命。,不料，炸成重伤的蒋子金，～地用手里的小剜刀去刺好的腿。（冯德英《迎春花》第十七章）
外币不可转卖,6,灯谜,根据谜题字词近义以及引申义联想、合成,外解为国外、洋，币解为钱、大洋，不可专卖解为自己得到，可解得洋洋自得,洋洋自得,yáng yáng zì dé,犹言洋洋得意。形容得意时神气十足的姿态。,他～走了过来。
最好的女婿,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,乘龙佳婿,chéng lóng jiā xù,乘龙：女子乘坐于龙上得道成仙。佳婿：称意的女婿。旧时指才貌双全的女婿。也用作誉称别人的女婿。,我有你这样一位坦腹东床的～，我是光荣得很啦。（郭沫若《南冠草》第三幕）
最锋利的刀剑,3,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,削铁如泥,xuē tiě rú ní,切削铁器如同斩剁泥土一样。形容兵刃极其锋利。,这口剑虽不能说～，也似花马剑一般锋利。（姚雪垠《李自成》第一卷第五章）
最舍本的人,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,明珠弹雀,míng zhū tán què,用珍珠打鸟雀。比喻得到的补偿不了失去的。,清·嬴宗季女《六月霜·前提》：“彩凤随鸦，～，乐府凄凉咏采芜。”
坐,3,灯谜,根据字的拆分以及结构联想、合成,坐字拆为从、土，至尾即土，从头至尾为坐字,从头至尾,cóng tóu zhì wěi,从开头至结尾。指某件事物的全过程或全部内容。,象一个人受了一辈子的冤屈，如今遇到一个亲人，他得～倾吐出来。巴金《火》第二部第十节
需,3,灯谜,根据字的拆分以及结构联想、合成,孺字可拆为子、需，于是可解为孺子可教,孺子可教,rú zǐ kě jiào,指年轻人可培养。,钱钟书《围城》：“你这话给我父亲听见，该说‘～’了。”
西子孟德各发老毛病,8,灯谜,根据人物特点以及字词近义联想、合成,西施心口痛，曹操头有疾，可解为痛心疾首,痛心疾首,tòng xīn jí shǒu,疾首：头痛。形容痛恨到了极点。,瞿耐庵自从到任至今也有半年了。治下的百姓因他听断糊涂，一个个～。（清·李宝嘉《官场现形记》第四十二回）
乐山,7,谜语·灯谜,根据谜题字词别称以及别意、近义联想、合成,乐解为喜，眉又称春山，于是可解为喜上眉梢,喜上眉梢,xǐ shàng méi shāo,喜悦的心情从眉眼上表现出来。,人们一见船影，都～。郭澄清《大刀记》第14章
冠亚军对弈,1,谜语,根据谜题意思联想、合成,既然是冠亚军的对弈了，那自然是棋逢对手喽,棋逢对手,qí féng duì shǒu,比喻争斗的双方本领不相上下。,他两个在半空中，这场好杀：～，将遇良才。（明·吴承恩《西游记》第三十四回）
新婚之夜,4,谜语,根据谜题意思以及近义联想,洞房花烛有类似意思,洞房花烛,dòng fáng huā zhú,形容结婚的景象。,～之夜，两新人原是旧相知，又多是吃惊吃吓，哭哭啼啼，死边过的，竟得团圆，其乐不可名状。（《初刻拍案惊奇》卷二十九）
乱伦,3,谜语,根据谜题意思联想,帷薄不修有类似意思,帷薄不修,wéi bó bù xiū,帐薄：帐幔和帘子，古代用以障隔内外；修：整饬。男女不分，内外杂沓。指家庭生活淫乱。,梁实秋《废话》：“某人芳龄几何，美容几次，某人～，某人似有外遇。”
没刻度的钟表,3,灯谜,根据所描述事物特点联想、合成,也就是没有时针刻度，没有分针刻度，解得无时无刻,无时无刻,wú shí wú kè,时时刻刻。表示毫不间断。,半个月来，她老是偷偷地看着剑波，她的心～不在恋着剑波，就好象是生活中不可缺少的空气一样。（曲波《林海雪原》九）
妖妇,4,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,妖解为祸害，妇解为嫁于人，即得嫁祸于人,嫁祸于人,jià huò yú rén,把自己的祸事推给别人。,他们这样说，固然也许是因为失败之后，～，或者因为自己变计，须有借口之故。（鲁迅《两地书》一０六）
僧人去多久,6,灯谜,根据字的拆分、组合以及字词近义联想、合成,僧人去即曾字，多久解为何时，于是可得曾几何时,曾几何时,céng jǐ hé shí,几何：若干、多少。才有多少时候。指没过多久。,～，他自己去做了一个小小的官儿回来，而他又劝我去学法政了。（郭沫若《少年时代·反正前后》）
霹雳舞,6,双钩格,根据谜题字词别意以及近义联想、合成,霹雳解为雷，舞解为跳，即如雷暴跳，由于双钩格，解为暴跳如雷,暴跳如雷,bào tiào rú léi,急怒叫跳，象打雷一样猛烈。形容又急又怒，大发脾气的样子。,他脾气很坏，一遇不顺心的事，就～。
大卡,5,灯谜,根据谜题字词近义以及引申义联想、合成,也就是大的会卡住，只有小的能到达、通过，可解为无微不至,无微不至,wú wēi bù zhì,微：微细；至：到。没有一处细微的地方不照顾到。形容关怀、照顾得非常细心周到。,还是在剑波十八岁的时候，要到战斗部队去，姐姐对这将要离开自己的弟弟，照顾得～。（曲波《林海雪原》一）
断崖映斜阳,6,双钩格,根据谜题字词别意以及近义联想、合成,断崖解为没有路了即途穷，斜阳即日暮，可得途穷日暮，由于双钩格，解为日暮途穷,日暮途穷,rì mù tú qióng,暮：傍晚；途：路。天已晚了，路已走到了尽头。比喻处境十分困难，到了末日。也形容穷困到极点。,匪徒们真是～，矛盾百出。（曲波《林海雪原》二十九）
零丁洋里叹零丁,7,谜语·灯谜,根据人物名字以及人物相关联想,出自文天祥《过零丁洋》，号文山，洋解为海，可解为文山会海,文山会海,wén shān huì hǎi,形容文件会议多得泛滥成灾。,最近～，正经事都没功夫做了。
动手术,5,谜语·灯谜,根据所描述事情的动作形象联想,可以解为切肤之痛,切肤之痛,qiè fū zhī tòng,切肤：切身，亲身。亲身经受的痛苦。比喻感受深切。,对日本帝国主义的暴行，他有着～。
鸡飞狗走,5,谜语,根据谜题意思以及近义联想,鸡犬不宁有类似意思,鸡犬不宁,jī quǎn bù níng,形容骚扰得厉害，连鸡狗都不得安宁。,你弟兄窝藏强盗，闹了两座军州，自去落草。官府着落地方搜缉，搅得～！（清·陈忱《水浒后传》第十六回）
大雪纷飞,2,谜语·灯谜,根据所描述景象以及字词近义联想、合成,大雪可解为天上掉落的花即天花，纷飞可解为乱坠，即得天花乱坠,天花乱坠,tiān huā luàn zhuì,传说梁武帝时有个和尚讲经，感动了上天，天上纷纷落下花来。形容说话有声有色，极其动听（多指夸张而不符合实际）。,傅二棒锤索性张大其词，说得～。（清·李宝嘉《官场现形记》第五十六回）
妇女,2,谜语,根据谜题意思联想,妇道人家即指妇女,妇道人家,fù dào rén jiā,妇道：妇人应遵守的道德规范。指成年女子,路遥《平凡的世界》第一卷第九章：“而且一个～，被拉在外村受这种损躏，众人心里实在不是滋味。”
激光射灯,7,灯谜,根据所描述事物特点以及字词近义、相关义联想、合成,激光灯的光彩肯定非常刺眼、夺目，可解为光彩夺目,光彩夺目,guāng cǎi duó mù,夺目：耀眼。形容鲜艳耀眼。也用来形容某些艺术作品和艺术形象的极高成就。,展览馆里展出的艺术品～，让人看了留连忘返。
补窟窿,4,谜语·灯谜,根据谜题字词近义联想、合成,补解为堵、塞，窟窿解为漏洞，于是可得堵塞漏卮,堵塞漏卮,dǔ sāi lòu zhī,卮：盛酒器。比喻堵塞漏洞,我们得尽快采取～的措施
方,6,灯谜,根据字的拆分以及结构联想、合成,防字可拆为耳、方，去掉耳即为方，两个防字是相等的即防不胜防,防不胜防,fáng bù shèng fáng,防：防备；胜：尽。形容防备不过来。,叭儿之类，是不足惧的，最可怕的确是口是心非的所谓“战友”，因为～。（鲁迅《致杨霁云信》）
才女征联选佳婿,6,辘轳格,根据谜题字词别意以及近义联想、合成,可以解为依从文采来选择如意的人许配，即得从文顺字，由于辘轳格，可得文从字顺,文从字顺,wén cóng zì shùn,从：服从，顺从；顺：通顺。指文章通顺。,这贾家呢，第二个儿子今年廿四岁，在家读书，人也长得清清秀秀的，笔下也还～。（清·刘鹗《老残游记》第十五回）
祖国,1,谜语,根据谜题意思联想,父母之邦即指祖国,父母之邦,fù mǔ zhī bāng,指祖国。,续范亭《警告中国抗战营垒内的奸细分子》：“中华儿女，应该为中国尽忠，应该为祖国、为～尽忠。”
矿物质,5,灯谜,根据谜题字词别意以及近义联想、合成,矿物可解为金石，质解为质问、言说，可得金石之言,金石之言,jīn shí zhī yán,象黄金宝石那样珍贵的话语。比喻可贵而有价值的劝告。,兄长～，小弟当铭刻肺腑。清·禇人获《隋唐演义》第十一回
晓得姓名和住址,1,双钩格,根据谜题字词近义联想、合成,晓得即知道，姓名即人名，地址就居所，可得共知人所，由于双钩格，解为人所共知,人所共知,rén suǒ gòng zhī,人人都知道。,～的事，你还敢狡辩吗？
头上泼勺油,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,油头滑脑,yóu tóu huá nǎo,形容人又轻浮，又狡滑。,江涛在门外头等着，朱老忠走进大门，到门房里投了信。一个～的家伙，看了看那封信，拿进去。（梁斌《红旗谱》二十四）
文盲,5,灯谜,根据人物特点联想,自然是一个大字也不认识的人，可解为目不识丁,目不识丁,mù bù shí dīng,连最普通的“丁”字也不认识。形容一个字也不认得。,我试问如果你母亲要把你嫁给一个～的俗商，或者一个中年官僚，或者一个纨袴子弟，你难产也不反抗？（巴金《家》二十五）
独木桥上遇仇人,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,冤家路窄,yuān jiā lù zhǎi,仇敌相逢在窄路上。指仇人或不愿意见面的人偏偏相遇。,却不防～，倒被阳伯偷看了去。（清·曾朴《孽海花》第二十二回）
贾宝玉出家,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,看破红尘,kàn pò hóng chén,旧指看透人生，把生死哀乐都不放在心上的消极的生活态度。现也指受挫折后消极回避、无所作为的生活态度。,新时代的年轻人不应有～的消极厌世态度。
最傻的嫌犯,2,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,自投罗网,zì tóu luó wǎng,投：进入；罗网：捕捉鱼鸟的器具。自己投到罗网里去。比喻自己送死。,凤姐故意报怨他失信，贾瑞急的起誓。凤姐因他～，少不的再寻别计令他知改。（清·曹雪芹《红楼梦》第十二回）
彪,7,灯谜,根据字的拆分以及物体形状联想、合成,彪字可拆分虎、彡，彡字形似翅膀即翼，如虎添翼即彪字,如虎添翼,rú hǔ tiān yì,好象老虎长上了翅膀。比喻强有力的人得到帮助变得更加强有力。,同时现代通讯手段让这些社会网络在从事商业活动时～。
精论要语,2,卷帘格,根据谜题字词近义联想、合成,精论解为精确完整的论述意思即意赅，要语即简要的言论，即得赅意简言，由于卷帘格，可得言简意赅,言简意赅,yán jiǎn yì gāi,赅：完备。话不多，但意思都有了。形容说话写文章简明扼要。,我们作文应该～，不要拖泥带水。
绿林军,5,灯谜,根据谜题字词别意以及近义联想、合成,绿林解为草木，军解为兵，即得草木皆兵,草木皆兵,cǎo mù jiē bīng,把山上的草木都当做敌兵。形容人在惊慌时疑神疑鬼。,这一天大家都是惊疑不定，～，迨及到了晚上，仍然毫无动静。（清·吴趼人《二十年目睹之怪现状》第五十九回）
讲课老一套,1,谜语·灯谜,根据谜题字词近义联想、合成,每次教课的时候都是不改内容的，也就说屡教不改,屡教不改,lǚ jiàn bù gǎi,多次教育，仍不改正。,犯错误的人，出岔子极少数坚持错误、～的以外，大多数是可以改正的。（毛泽东《论十大关系》）
醉汉望天,6,谜语·灯谜,根据所描述事情的结果联想、合成,醉汉望天空晕晕乎乎，星斗自然会发生转移、偏移了，可解为斗转星移,斗转星移,dǒu zhuǎn xīng yí,星斗变动位置。指季节或时间的变化。,～，草青草黄，不觉明明已长大成人。
嘴严,4,谜语,根据谜题意思以及近义联想,也就是不会把秘密随便说出来，可解为守口如瓶,守口如瓶,shǒu kǒu rú píng,守口：紧闭着嘴不讲话。闭口不谈，象瓶口塞紧了一般。形容说话谨慎，严守秘密。,凡是重要的会议内容，他一向～，从不乱说。
取本存息,1,卷帘格,根据谜题字词近义联想、合成,存息解为只落下利息，取本解为取净本钱，本可解为干，即得利落净干，由于卷帘格，可解为干净利落,干净利落,gān jìng lì luò,形容没有多余的东西。令人爽心悦目。也形容动作熟练、敏捷准确。,不是老人家，谁能这样～。（赵树理《李家庄的变迁·十二》）
希望都能提批评,3,红豆格,根据谜题字词近义联想、合成,希望解为请求，都即全，批评解为责备，即得“求，全责备”，由于红豆格，解得求全责备,求全责备,qiú quán zé bèi,求、责：要求；全、备：完备，完美。对人对事物要求十全十美，毫无缺点。,于已成之局那么委曲求全，于初兴之事就这么～？（鲁迅《华盖集·这个与那个》）
眼神似相思,5,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,眼神即目光，似即如，相思解为红豆，即得目光如豆,目光如豆,mù guāng rú dòu,眼光象豆子那样小。形容目光短浅，缺乏远见。,胸无大志，～的人，是难以成就一番大事业的。
郸,6,灯谜,根据字的拆分以及物体形状联想、合成,郸字可拆为左右两部，右半部分像个旗帜，单即独，于是可解为独树一帜,独树一帜,dú shù yī zhì,树：立；帜：旗帜。单独树起一面旗帜。比喻独特新奇，自成一家。,苏轼也擅长书法，他取法颜真卿，但能～，与蔡襄、黄庭坚、米芾并称宋代四大家。
市,5,灯谜,根据字的拆分以及结构联想、合成,沛字可拆为水、市，流离即去掉水得市，于是可解为颠沛流离,颠沛流离,diān pèi liú lí,颠沛：跌倒，比喻穷困，受挫折；流离：浪落。由于灾荒或战乱而流转离散。形容生活艰难，四处流浪。,我所感到悲哀的，是有几个同我来的学生，至今还找不到学校进，还在～。（鲁迅《而已集·通信》）
登报寻失主,6,谜语·灯谜,根据所描述事情的目的以及字词相关义联想、合成,也就是等待有人来接受丢失的物品，即得待人接物,待人接物,dài rén jiē wù,物：人物，人们。指跟别人往来接触。,他对事能从各方面看，能有充分的谅解精神，因此他的～都有很合理的态度。（邹韬奋《患难余生记·流亡》）
熟手,1,谜语·灯谜,根据谜题字词近义联想、合成,也就是非常熟练的老手，可解为了如指掌,了如指掌,liǎo rú zhí zhǎng,形容对事物了解得非常清楚，象把东西放在手掌里给人家看一样。,只这一相形之下，美丑高低，便～了。（闻一多《冬夜评论》）
管它是多少,1,谜语·灯谜,根据谜题字词近义联想、合成,也就是不计算多少、不计算数字，可以解为不计其数,不计其数,bù jì qí shù,没法计算数目。形容很多。,去州桥河内周围上下点灯，～。（明·施耐庵《水浒全传》第六十六回）
中间商,3,谜语,根据谜题意思以及近义联想,扯篷拉纤意近中间商,扯篷拉纤,chě péng lā qiàn,指用不正当的手段为人撮合或说情而从中取利的行为。,我比不得他们～的图银子。这三千两银子，不过是给打发说去的小厮们作盘缠。（清·曹雪芹《红楼梦》第十五回）
元配,1,谜语,根据谜题意思联想,结发夫妻即指原配,结发夫妻,jié fà fū qī,结发：束发，意即年轻时。年轻时结成的夫妻。指原配夫妻。,官人，我与你～，苦乐同受。（明·冯梦龙《醒世恒言》卷九）
不必多言，放马过来,7,双钩格,根据谜题字词近义以及引申义联想、合成,不必多言解为不要讨论，放马过来可以联系为格斗开始打杀，即得勿论格杀，由于双钩格，解为格杀勿论,格杀勿论,gé shā wù lùn,格：打；格杀：打死；勿论：不论罪。指把拒捕、行凶或违反禁令的人当场打死而不以杀人论罪。,如有白拒捕等事，～。（《负曝闲谈》第三回）
出差不肯乱花钱,7,灯谜,根据谜题字词近义以及引申义联想、合成,也就是说在家里住所的时候不吝惜花钱，可解为在所不惜,在所不惜,zài suǒ bù xī,决不吝惜（多用在付出大的代价）。,当祖国需要我们的时候，即使赴汤蹈火，我们也～。
戈壁风起,1,谜语·灯谜,根据所描述景象联想、合成,戈壁上都是沙石，风起意味着飞沙走石,飞沙走石,fēi shā zǒu shí,沙土飞扬，石块滚动。形容风势狂暴。,尤窍怒号天噫气，～乱伤人。（明·吴承恩《西游记》第二十八回）
干鱼肚里寻胆,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,煞费苦心,shà fèi kǔ xīn,煞：委。形容费尽心思。,他～编造的谎言被人当场揭穿了。
赤橙绿蓝紫,2,谜语·灯谜,根据颜色联想、合成,缺少青黄，没有连接，于是解为青黄不接,青黄不接,qīng huáng bù jiē,青：田时的青苗；黄：成熟的谷物。旧粮已经吃完，新粮尚未接上。也比喻人才或物力前后接不上。,总算安然改业，否则也许还有一段～的失业时期。（邹韬奋《经历·英文教员》）
二十四小时,2,谜语,根据谜题意思联想,也就是一日的时间长度，可解为一日之长,一日之长,yī rì zhī cháng,表示判断或处理事情有相当能力。,这《孩儿塔》的出世并非要和现在一般的诗人争～，是有别一种意义在。（鲁迅《且介亭杂文末编·白莽作〈孩儿塔序〉》）
示,3,灯谜,根据字的拆分以及结构联想、合成,视字可拆为示、见，视而不见即示,视而不见,shì ér bù jiàn,指不注意，不重视，睁着眼却没看见。也指不理睬，看见了当作没看见。,他对周围的一切都～，一脸茫然地走下了楼梯。
海胆,5,灯谜,根据动物特点联想、合成,海胆，中医理论中“胆为藏精气之所”即大海的精华，都藏在这坚硬又多刺的外表下，也就说浑身是胆,浑身是胆,hún shēn shì dǎn,形容胆量大，无所畏惧。,武松～，赤手空拳打死了凶猛的老虎。
八磅大锤钉钉子,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,稳扎稳打,wěn zhā wěn dǎ,扎：安营。稳当而有把握地打击敌人。比喻有把握、有步骤地工作。,我们的方针是～，不求速效。（毛泽东《关于情况的通报》）
最神奇的魔术,3,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,海市蜃楼,hǎi shì shèn lóu,蜃：大蛤。原指海边或沙漠中，由于光线的反向和折射，空中或地面出现虚幻的楼台城郭。现多比喻虚无缥渺的事物。,第五出是达摩带着徒弟过江回去，正扮出～，好不热闹。（清·曹雪芹《红楼梦》第八十五回）
运土,4,灯谜,根据字的拆分、组合以及字词近义联想、合成,运解为搬弄，土字拆为十、一，即正负解为是非，可得搬弄是非,搬弄是非,bān nòng shì fēi,搬弄：挑拔。把别人的话传来传去，有意挑拔，或在背后乱加议论，引起纠纷。,况三姑六婆，里外～，何能不生事端。（清·李汝珍《镜花缘》第十二回）
不好意思再猜题,5,灯谜,根据谜题字词别意以及近义联想、合成,不好意思即害羞，在猜题即答答，可解为羞人答答,羞人答答,xiū rén dā dā,答答：害羞的样子。形容自己感觉难为情。,清·庾岭劳人《蜃楼志》第八回：“女孩儿家～的，教我怎样？”
讽刺荆轲刺秦王,7,灯谜,根据谜题字词近义以及引申义联想、合成,讽刺可解为嘲讽、嘲笑，荆轲刺秦王可以想到是图穷匕首见即藏刀，于是可解为笑里藏刀,笑里藏刀,xiào lǐ cáng dāo,形容对人外表和气，却阴险毒辣。,他把我丕的来药倒，烟生七窍，冰浸四稍，谁承望～，眼见的丧荒郊。（元·孟汉卿《魔合罗》第二折）
重阳节,2,谜语·灯谜,根据时间以及字词近义联想,也就是九月九日，必里迟离即指该日,必里迟离,bì lǐ chí lí,阴历九月九日。,《辽史·嘉仪志》：“九月重九日，天子率群臣部族射虎，少者为负，罚重九宴。……国语谓是日为‘～’，九月九日也。”
生日,1,谜语,根据谜题意思联想,初度之辰即指生日,初度之辰,chū dù zhī chén,初度：初生之时；辰：日子。指生日,宋·胡继宗《书言故事·庆诞类》：“自称生日曰～。”
